Time [s],Channel 0
0.000000000,0
0.964152000,1
1.014246000,0
1.024272000,1
1.074366000,0
1.084396000,1
1.134490000,0
1.144518000,1
1.194611000,0
1.204638000,1
1.354904000,0
1.405002000,1
1.555265000,0
1.565291000,1
1.715554000,0
1.725580000,1
1.875844000,0
1.885870000,1
1.935963000,0
1.945994000,1
1.996091000,0
2.046188000,1
2.096282000,0
2.106308000,1
2.156405000,0
2.166431000,1
2.216526000,0
2.226556000,1
2.276650000,0
2.286676000,1
2.336773000,0
2.386874000,1
2.537138000,0
2.547164000,1
2.697431000,0
2.707457000,1
2.757551000,0
2.767581000,1
2.817674000,0
2.827702000,1
2.877799000,0
2.927895000,1
2.977989000,0
2.988016000,1
3.038110000,0
3.048136000,1
3.098230000,0
3.108260000,1
3.158354000,0
3.168381000,1
3.318647000,0
3.368744000,1
3.519007000,0
3.529038000,1
3.679303000,0
3.689330000,1
3.839593000,0
3.849623000,1
3.899717000,0
3.909743000,1
3.959841000,0
4.009938000,1
4.160201000,0
4.170231000,1
4.320497000,0
4.330524000,1
4.380618000,0
4.390648000,1
4.440742000,0
4.450768000,1
4.500865000,0
4.550961000,1
4.701227000,0
4.711257000,1
4.761352000,0
4.771382000,1
4.821479000,0
4.831505000,1
4.881598000,0
4.931698000,1
4.981793000,0
4.991819000,1
5.041912000,0
5.051942000,1
5.102039000,0
5.112067000,1
5.162164000,0
5.172194000,1
5.322464000,0
5.372560000,1
5.522826000,0
5.532853000,1
5.582944000,0
5.592971000,1
5.643068000,0
5.693168000,1
5.743261000,0
5.753291000,1
5.803386000,0
5.813415000,1
5.863513000,0
5.873539000,1
6.023803000,0
6.033830000,1
6.184092000,0
6.234190000,1
6.384456000,0
6.394483000,1
6.544747000,0
6.554773000,1
6.705036000,0
6.715066000,1
6.865332000,0
6.875359000,1
7.025625000,0
7.075725000,1
7.125822000,0
7.135850000,1
7.185943000,0
7.195973000,1
7.246067000,0
7.256093000,1
7.306191000,0
7.316218000,1
7.366312000,0
7.416411000,1
7.466505000,0
7.476535000,1
7.526629000,0
7.536655000,1
7.686921000,0
7.696948000,1
7.847211000,0
7.857241000,1
8.007504000,0
8.057600000,1
8.107695000,0
8.117724000,1
8.167819000,0
8.177845000,1
8.227942000,0
8.237972000,1
8.288065000,0
8.298093000,1
8.348190000,0
8.398286000,1
8.448380000,0
8.458406000,1
8.508504000,0
8.518531000,1
8.568624000,0
8.578655000,1
8.728921000,0
8.738948000,1
8.889214000,0
8.939311000,1
8.989406000,0
8.999432000,1
9.049529000,0
9.059555000,1
9.109649000,0
9.119679000,1
9.269942000,0
9.279968000,1
9.430232000,0
9.480329000,1
9.530422000,0
9.540448000,1
9.590545000,0
9.600572000,1
9.650665000,0
9.660695000,1
9.810959000,0
9.820985000,1
9.971252000,0
10.021352000,1
10.071447000,0
10.081473000,1
10.131570000,0
10.141600000,1
10.191694000,0
10.201721000,1
10.251815000,0
10.261841000,1
10.311935000,0
10.362034000,1
10.412125000,0
10.422151000,1
10.472244000,0
10.482274000,1
10.632538000,0
10.642565000,1
10.692662000,0
10.742758000,1
10.792852000,0
10.802879000,1
10.852976000,0
10.863006000,1
10.913099000,0
10.923126000,1
11.073390000,0
11.083416000,1
11.233682000,0
11.283781000,1
11.333878000,0
11.343908000,1
11.494172000,0
11.504202000,1
11.654468000,0
11.664496000,1
11.814762000,0
11.824792000,1
11.975056000,0
12.025156000,1
12.075253000,0
12.085283000,1
12.135379000,0
12.145406000,1
12.195500000,0
12.205530000,1
12.255623000,0
12.265650000,1
12.315748000,0
12.365844000,1
12.415938000,0
12.425964000,1
12.476062000,0
12.486089000,1
12.536183000,0
12.546212000,1
12.696478000,0
12.706506000,1
12.856772000,0
12.906872000,1
12.956975000,0
12.967003000,1
13.017096000,0
13.027122000,1
13.077220000,0
13.087249000,1
13.137343000,0
13.147370000,1
13.197467000,0
13.247563000,1
13.297660000,0
13.307687000,1
13.357784000,0
13.367814000,1
13.518079000,0
13.528107000,1
13.578205000,0
13.628305000,1
13.678402000,0
13.688431000,1
13.738525000,0
13.748552000,1
13.798649000,0
13.808679000,1
13.858773000,0
13.868799000,1
13.918893000,0
13.968989000,1
14.019083000,0
14.029109000,1
14.079206000,0
14.089233000,1
14.139327000,0
14.149357000,1
14.299621000,0
14.309651000,1
14.459917000,0
14.510013000,1
14.560108000,0
14.570134000,1
14.620231000,0
14.630260000,1
14.680354000,0
14.690382000,1
14.840648000,0
14.850674000,1
15.000938000,0
15.051035000,1
15.101129000,0
15.111155000,1
15.161249000,0
15.171276000,1
15.221372000,0
15.231402000,1
15.381666000,0
15.391693000,1
15.541959000,0
15.592057000,1
15.642150000,0
15.652180000,1
15.702277000,0
15.712307000,1
